"Date","Share_Price","Shares_outstanding","Market_cap","Revenue","Net_income","Earned_per_share","BookValue","BookValue_pershare","CurrentAssetValuePerShare","Current_Asset_Value","Cash_Asset_Value","Cash_Asset_ValuePerShare","Total_Assets","Equity","Working_capital","Total_Liabilities","EBIDTA","Interest","Dividends"
2015-12-30,10.4,17500000,182000000,649887000,-9990000,-0.570857142857143,324206000,18.5260571428571,3.63771428571429,63660000,26494000,1.51394285714286,536475000,321087000,135759000,215388000,-10367000,4504000,2660000
2016-12-30,13.1,17500000,229250000,800295000,-7978000,-0.455885714285714,331162000,18.9235428571429,5.38451428571429,94229000,15230000,0.870285714285714,659066000,312154000,148866000,346912000,-5517000,3453000,700000
2017-12-29,14.82,17500000,259350000,1117267000,24430000,1.396,354782000,20.2732571428571,7.15314285714286,125180000,34449000,1.96851428571429,768574000,333923000,170296000,434651000,39948000,10425000,2660000
2018-12-28,9,17500000,157500000,1454798000,34219000,1.95537142857143,373524000,21.3442285714286,7.15262857142857,125171000,3930000,0.224571428571429,893883000,362962000,188533000,530921000,41344000,4187000,4320000
2019-12-30,7.6,17500000,133000000,1429256000,21701000,1.24005714285714,386890000,22.108,5.9796,104643000,7171000,0.409771428571429,942728000,378948000,170307000,563780000,28375000,4703000,5716000
2020-12-30,7.34,17500000,128450000,1550757000,27151000,1.55148571428571,417334000,23.8476571428571,7.27371428571429,127290000,46914000,2.6808,917826000,403443000,166506000,514383000,35524000,4429000,2656000
2021-12-30,10.15,17500000,177625000,1648282000,123166000,7.03805714285714,548914000,31.3665142857143,15.3249714285714,268187000,51124000,2.92137142857143,1203949000,522249000,270842000,681700000,148116000,3445000,4360000
