"Date","Share_Price","Shares_outstanding","Market_cap","Revenue","Net_income","Earned_per_share","BookValue","BookValue_pershare","CurrentAssetValuePerShare","Current_Asset_Value","Cash_Asset_Value","Cash_Asset_ValuePerShare","Total_Assets","Equity","Working_capital","Total_Liabilities","EBIDTA","Interest","Dividends"
2015-12-30,313,9422210,2949151730,2027146000,209813000,22.2679180362144,1280031000,135.852522921905,14.8858919510391,140258000,-607074000,-64.4301071616956,1958692000,1278843000,309435000,679849000,244441000,16079000,136059000
2016-12-30,388,9453332,3667892816,2267427000,277890000,29.3959843999978,1408152000,148.958272067457,1.6260933182078,15372000,-842313000,-89.1022340059568,2322835000,1405361000,237421000,917474000,282327000,16637000,170167000
2017-12-29,409.5,9494626,3888049347,2642613000,236872000,24.9480074307298,1363877000,143.647258986294,-7.84275231062287,-74464000,-1056965000,-111.322447034775,2499376000,1363378000,194641000,1135998000,301238000,12623000,284699000
2018-12-28,329,9538160,3138054640,2993453000,268463000,28.1462042993617,1397541000,146.521027116341,-18.5254808055222,-176699000,-1260783000,-132.183041592928,2779848000,1397042000,136966000,1382806000,337667000,21786000,228540000
2019-12-30,346,9558105,3307104330,3203665000,295435000,30.9093695873816,1479226000,154.761430220739,-20.9650343870464,-200386000,-1192424000,-124.755273142532,2778510000,1478505000,358509000,1300005000,384887000,22322000,229482000
2020-12-30,491.5,9602844,4719797826,3533340000,430518000,44.8323434182623,1587435000,165.308839756222,-8.7205415395689,-83742000,-1150606000,-119.819295200464,2888884000,1586936000,480214000,1301948000,525825000,22207000,337208000
2021-12-30,610,9644757,5883301770,4597575000,595368000,61.7297045431005,1769942000,183.513384525914,4.94081914142575,47653000,-1653562000,-171.446724888973,3526815000,1769443000,594968000,1757372000,746048000,15054000,430420000
